Sep 05, 2023 5:21:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-mgmt-cli/lock
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:22:08,610 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.73
2023-09-05T17:22:08,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcprov-jdk18on/1.73
2023-09-05T17:22:08,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcutil-jdk18on/1.73
2023-09-05T17:22:08,612 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.code.gson/gson/2.10.1
2023-09-05T17:22:08,612 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.zaxxer/HikariCP/4.0.3
2023-09-05T17:22:08,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:net.lingala.zip4j/zip4j/2.11.5
2023-09-05T17:22:08,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.osgi/org.osgi.service.jdbc/1.0.0
2023-09-05T17:22:08,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki/ca-api/6.3.0
2023-09-05T17:22:08,614 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki/ca-mgmt-api/6.3.0
2023-09-05T17:22:08,614 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki/ca-mgmt-client/6.3.0
2023-09-05T17:22:08,615 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/datasource/6.3.0
2023-09-05T17:22:08,615 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/password/6.3.0
2023-09-05T17:22:08,616 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security/6.3.0
2023-09-05T17:22:08,616 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security/6.3.0
2023-09-05T17:22:08,617 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security-shell/6.3.0
2023-09-05T17:22:08,617 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/shell-base/6.3.0
