Sep 05, 2023 5:17:21 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-cli/lock
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:17:29,768 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.tree/9.4.0
2023-09-05T17:17:29,773 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.commons/9.4.0
2023-09-05T17:17:29,779 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.proxy/1.1.13
2023-09-05T17:17:29,785 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.tree.analysis/9.4.0
2023-09-05T17:17:29,791 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.api/1.0.1
2023-09-05T17:17:29,796 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.core/1.10.3
2023-09-05T17:17:29,802 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.blueprint.cm/1.3.2
2023-09-05T17:17:29,807 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.objectweb.asm.util/9.4.0
2023-09-05T17:17:29,814 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.jline/3.21.0
2023-09-05T17:17:29,820 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.core/4.4.3
2023-09-05T17:17:29,826 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.bundle.core/4.4.3
2023-09-05T17:17:29,832 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.bundle.blueprintstate/4.4.3
2023-09-05T17:17:29,837 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.log.core/4.4.3
2023-09-05T17:17:29,843 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.features.command/4.4.3
2023-09-05T17:17:29,848 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.commands/4.4.3
2023-09-05T17:17:29,856 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Done.
2023-09-05T17:17:29,858 | INFO  | FelixStartLevel  | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Adding features: xipki-scep-client/[6.3.0,6.3.0],xipki-cmp-client/[6.3.0,6.3.0],xipki-ocsp-client/[6.3.0,6.3.0]
2023-09-05T17:17:31,200 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
2023-09-05T17:17:31,201 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   Region: root
2023-09-05T17:17:31,201 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |     Bundles to install:
2023-09-05T17:17:31,202 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.73
2023-09-05T17:17:31,203 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcprov-jdk18on/1.73
2023-09-05T17:17:31,203 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcutil-jdk18on/1.73
2023-09-05T17:17:31,204 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.code.gson/gson/2.10.1
2023-09-05T17:17:31,204 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/password/6.3.0
2023-09-05T17:17:31,205 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security/6.3.0
2023-09-05T17:17:31,205 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security/6.3.0
